iter	Logloss
0	0.6845252265
1	0.6752362834
2	0.6665846809
3	0.6576851679
4	0.6508171525
5	0.6442235203
6	0.6364036418
7	0.6300901082
8	0.621723095
9	0.6130498705
10	0.6066562774
11	0.6004481897
12	0.5946845418
13	0.5879000508
14	0.5809578344
15	0.5742236867
16	0.5666490868
17	0.5599386959
18	0.5550674031
19	0.5492750869
20	0.5436775084
21	0.5369679221
22	0.5304332269
23	0.5246212397
24	0.5193212908
25	0.5129597736
26	0.5080654471
27	0.5020690916
28	0.4976636903
29	0.4936372275
30	0.4897809534
31	0.4856370555
32	0.4800145876
33	0.476334296
34	0.4716661172
35	0.4672590687
36	0.463308979
37	0.4594987715
38	0.4552048752
39	0.4514097336
40	0.4491935726
41	0.4460627618
42	0.4427407907
43	0.4384990937
44	0.4351866764
45	0.4306886939
46	0.427242751
47	0.4227992321
48	0.4191319636
49	0.4169342753
50	0.4140632782
51	0.4113060195
52	0.4076444824
53	0.4047039011
54	0.4021554792
55	0.3993259067
56	0.396923253
57	0.394105761
58	0.391787913
59	0.3879651457
60	0.3855280138
61	0.3831326587
62	0.3802380457
63	0.3778013987
64	0.3753381457
65	0.3726437931
66	0.3708327038
67	0.3686276702
68	0.3663569751
69	0.3638815603
70	0.3617765842
71	0.3593510297
72	0.3576571682
73	0.3563866368
74	0.3545130479
75	0.3519322353
76	0.3494945238
77	0.3468171872
78	0.3451679021
79	0.3430566687
80	0.3413555133
81	0.3395009092
82	0.3374560594
83	0.3359207595
84	0.3341175728
85	0.3325511979
86	0.3302579349
87	0.328309789
88	0.3272121743
89	0.3253296174
90	0.3231340901
91	0.3222147083
92	0.3212456193
93	0.3196353805
94	0.3185183016
95	0.3172108899
96	0.3161062207
97	0.3152813814
98	0.3132567542
99	0.3119779129
100	0.3100232436
101	0.3090082461
102	0.3076697954
103	0.3061482888
104	0.3042610424
105	0.3030290381
106	0.302046437
107	0.3012104869
108	0.3000161258
109	0.2989303091
110	0.2975750042
111	0.2966178873
