iter	Passed	Remaining
0	155	155030
1	158	78899
2	160	53213
3	161	40306
4	163	32500
5	164	27313
6	167	23765
7	171	21274
8	173	19107
9	175	17396
10	177	15952
11	182	15021
12	184	13992
13	186	13100
14	189	12434
15	191	11780
16	193	11189
17	195	10690
18	197	10202
19	199	9795
20	203	9473
21	205	9147
22	208	8847
23	210	8548
24	212	8273
25	214	8017
26	216	7804
27	218	7581
28	228	7647
29	230	7453
30	232	7261
31	233	7068
32	237	6960
33	239	6800
34	241	6650
35	242	6501
36	244	6359
37	245	6227
38	247	6100
39	248	5974
40	250	5860
41	252	5750
42	253	5641
43	254	5536
44	256	5438
45	257	5347
46	259	5260
47	261	5177
48	262	5098
49	264	5024
50	266	4954
51	267	4884
52	269	4818
53	273	4784
54	276	4756
55	282	4754
56	283	4692
57	285	4632
58	287	4579
59	289	4538
60	292	4499
61	295	4474
62	297	4422
63	298	4369
64	300	4316
65	301	4266
66	302	4217
67	304	4172
68	305	4124
69	307	4083
70	310	4061
71	311	4020
72	313	3987
73	315	3948
74	316	3908
75	318	3872
76	320	3836
77	321	3801
78	324	3785
79	326	3749
80	328	3732
81	330	3704
82	332	3672
83	333	3640
84	335	3609
85	336	3580
86	339	3562
87	342	3550
88	344	3527
89	348	3521
90	350	3502
91	364	3597
92	371	3620
93	374	3609
94	376	3585
95	381	3592
96	383	3574
97	386	3555
98	387	3530
99	389	3505
100	390	3479
101	392	3454
102	393	3429
103	395	3404
104	396	3379
105	397	3355
106	399	3337
107	401	3316
108	403	3294
109	404	3272
110	405	3251
111	407	3229
112	408	3207
113	410	3187
114	412	3174
115	414	3156
116	421	3177
117	424	3171
118	425	3152
119	427	3131
120	429	3121
121	432	3115
122	434	3099
123	436	3084
124	438	3066
125	439	3051
126	442	3039
127	445	3036
128	447	3023
129	450	3013
130	451	2997
131	453	2982
132	455	2967
133	457	2953
134	460	2949
135	461	2934
136	463	2919
137	465	2904
138	466	2891
139	468	2879
140	470	2866
141	473	2860
142	475	2848
143	476	2833
144	478	2821
145	480	2808
146	481	2796
147	483	2783
148	485	2770
149	486	2758
150	490	2755
151	492	2745
152	493	2732
153	495	2720
154	496	2708
155	498	2695
156	500	2689
157	503	2683
158	505	2674
159	507	2663
160	509	2654
161	511	2644
162	513	2635
163	515	2626
164	517	2618
165	520	2613
166	523	2609
167	525	2600
168	542	2665
169	550	2685
170	552	2680
171	557	2682
172	562	2688
173	576	2734
174	578	2726
175	582	2725
176	584	2718
177	586	2710
178	590	2708
179	604	2756
180	606	2744
181	609	2738
182	611	2732
183	616	2733
184	618	2723
185	620	2714
186	622	2708
187	627	2708
188	629	2700
189	631	2693
190	634	2687
191	644	2714
192	646	2705
193	648	2696
194	663	2738
195	665	2731
196	671	2737
197	673	2728
198	675	2720
199	677	2711
200	685	2725
201	692	2736
202	694	2727
203	696	2717
204	713	2765
205	715	2757
206	717	2748
207	719	2739
208	722	2732
209	727	2735
210	731	2735
211	733	2726
212	738	2730
213	766	2813
214	772	2820
215	778	2826
216	780	2816
217	783	2812
218	796	2841
219	800	2837
220	813	2865
221	815	2859
222	818	2851
223	823	2854
224	827	2849
225	829	2839
226	830	2828
227	832	2818
228	837	2820
229	841	2818
230	843	2808
231	845	2798
232	848	2792
233	856	2803
234	859	2796
235	861	2790
236	864	2782
237	868	2780
238	872	2778
239	874	2769
240	876	2760
241	878	2752
242	882	2748
243	884	2740
244	886	2730
245	887	2720
246	889	2710
247	896	2719
248	898	2710
249	900	2702
250	903	2697
251	910	2702
252	913	2696
253	917	2695
254	919	2686
255	922	2679
256	929	2686
257	930	2677
258	932	2667
259	933	2657
260	935	2647
261	939	2645
262	943	2645
263	945	2637
264	947	2627
265	948	2617
266	950	2608
267	955	2609
268	958	2606
269	961	2600
270	963	2591
271	964	2582
272	966	2572
273	972	2576
274	974	2568
275	975	2559
276	977	2550
277	978	2541
278	979	2532
279	982	2527
280	987	2526
281	988	2517
282	990	2508
283	991	2499
284	992	2490
285	1040	2597
286	1046	2600
287	1051	2600
288	1054	2593
289	1055	2585
290	1064	2592
291	1065	2583
292	1069	2579
293	1072	2576
294	1074	2568
295	1076	2561
296	1079	2555
297	1081	2546
298	1082	2537
299	1083	2529
300	1085	2520
301	1087	2513
302	1094	2517
303	1096	2510
304	1100	2507
305	1102	2500
306	1104	2493
307	1108	2489
308	1109	2482
309	1111	2474
310	1113	2466
311	1115	2458
312	1116	2450
313	1121	2450
314	1123	2442
315	1124	2433
316	1125	2425
317	1127	2417
318	1128	2408
319	1129	2400
320	1135	2401
321	1137	2395
322	1139	2387
323	1140	2379
324	1142	2371
325	1143	2363
326	1144	2355
327	1149	2355
328	1152	2349
329	1153	2342
330	1154	2334
331	1156	2326
332	1157	2318
333	1158	2310
334	1162	2306
335	1165	2303
336	1167	2296
337	1168	2288
338	1169	2280
339	1171	2273
340	1172	2266
341	1177	2265
342	1181	2262
343	1183	2256
344	1185	2249
345	1186	2242
346	1188	2236
347	1193	2236
348	1197	2232
349	1199	2227
350	1203	2224
351	1211	2229
352	1213	2224
353	1215	2218
354	1217	2212
355	1221	2208
356	1228	2212
357	1230	2207
358	1232	2201
359	1234	2195
360	1243	2201
361	1245	2195
362	1247	2189
363	1249	2182
364	1257	2187
365	1258	2180
366	1260	2174
367	1304	2240
368	1306	2234
369	1316	2242
370	1323	2243
371	1326	2238
372	1327	2231
